floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,flat_id
4,12,2,38.4,10000000,Перово, Металлургов,38,Перово,315987738
12,14,2,49.2,31000000,Раменки,проспект Генерала Дорохова,39к1,Поклонная,314563566
1,13,2,50.0,36000000,Раменки,проспект Генерала Дорохова,39к2Д,Минская,311152752
4,5,2,44.0,14490000,Хорошево-Мневники,проспект Маршала Жукова,40,Народное Ополчение,316471812
1,13,2,49.5,36000000,Раменки,проспект Генерала Дорохова,39к2Д,Минская,311154592
10,22,2,90.0,43900000,Раменки, Пырьева,9К1,Поклонная,315519326
5,9,2,49.7,17000000,Отрадное,Юрловский проезд,7,Отрадное,316538189
5,5,2,51.0,22000000,Академический,проспект 60-летия Октября,14,Академическая,314356422
2,5,2,84.63,128500000,Басманный,Потаповский переулок,6С1,Чистые пруды,305274218
11,29,2,75.0,31500000,Теплый Стан,Ленинский проспект,131,Тропарёво,305846088
4,21,2,41.0,53000000,Якиманка,Донская ,14,Шаболовская,293905913
1,24,2,44.0,11900000,Чертаново Центральное,Кировоградская ,22к2,Пражская,316343295
20,23,2,62.0,36500000,Хорошевский, Зорге,9к2,Зорге,316245416
7,27,2,66.2,54500000,Беговой,Верхняя ,20к1,Белорусская,314500986
3,12,2,65.6,82000000,Раменки,Мосфильмовская ,1к5,Ломоносовский проспект,304963966
10,20,2,61.0,31000000,Левобережный,Ленинградское шоссе,69к2,Беломорская,313942680
4,4,2,53.2,15500000,Кунцево,Кунцевская ,11,Рабочий посёлок,316503084
17,34,2,51.1,49990000,Дорогомилово,Поклонная ,9,Поклонная,310316100
10,11,2,90.0,75500000,Аэропорт,Ленинградский проспект,36с31,Динамо,315960334
3,5,2,45.9,14700000,Можайский, Гришина,17,Рабочий посёлок,316249121
5,21,2,107.0,47000000,Хорошево-Мневники, Нижние Мневники,16к6,Терехово ,316201065
17,17,2,64.1,12600000,Некрасовка, Недорубова,11,Некрасовка,313659659
12,13,2,70.0,50000000,Филевский парк, Василисы Кожиной,13,Парк Победы,313945749
2,5,2,64.0,215000000,Хамовники,Пречистенская набережная,43,Кропоткинская,289514736
8,9,2,37.0,7950000,Матушкино,Зеленоград,к146,Зеленоград — Крюково,315455392
9,14,2,69.0,61999000,Раменки,проспект Генерала Дорохова,39к1А,Поклонная,315776707
13,32,2,50.7,46000000,Дорогомилово,Поклонная ,9,Поклонная,315660003
9,10,2,64.7,16922200,Кунцево,5-я Мякининская ,20,Строгино,316645342
8,17,2,60.2,13200000,Некрасовка,проспект Защитников Москвы,11,Некрасовка,312249570
15,16,2,54.0,16490000,Дмитровский,Вагоноремонтная ,5К1,Лианозово,315020768
